duplicate_group_id,canonical_candidate,document_id,file_name,relative_path,extension,size_bytes,sha256
EXACT00018,False,DOC000088,KPT(KaynarcaPendikTuzla) Metrosu_24220221180893.pdf,Mehmet/Literatur/KPT(KaynarcaPendikTuzla) Metrosu_24220221180893.pdf,.pdf,2778238,04d6baa6481db3bec1d18c9bcc97cf831dcaeb768a6d57ce7f74a52936e02ef2
EXACT00019,True,DOC000060,KTU_Tez_Tam Metin.pdf,Mehmet/Kitap 2.Bolum/Kullanılan Dokumanlar/KTU_Tez_Tam Metin.pdf,.pdf,6709971,674564f8c6d600238ac22b37a62038d0dec5a6d6cab5ec237c911947b959fbd2
EXACT00019,False,DOC000089,KTU_Tez_Tam Metin.pdf,Mehmet/Literatur/KTU_Tez_Tam Metin.pdf,.pdf,6709971,674564f8c6d600238ac22b37a62038d0dec5a6d6cab5ec237c911947b959fbd2
EXACT00020,True,DOC000063,tehlikeli-maddelerin-karayolu-ile-tasinmasi-yonetmelik-62b01f085fe6c.pdf,Mehmet/Kitap 2.Bolum/Kullanılan Dokumanlar/tehlikeli-maddelerin-karayolu-ile-tasinmasi-yonetmelik-62b01f085fe6c.pdf,.pdf,243881,19bb2d542f7e1f0a684f70c248797a21a306d50fbf9d86246ef70b47ac60e38d
EXACT00020,False,DOC000091,tehlikeli-maddelerin-karayolu-ile-tasinmasi-yonetmelik-62b01f085fe6c.pdf,Mehmet/Literatur/tehlikeli-maddelerin-karayolu-ile-tasinmasi-yonetmelik-62b01f085fe6c.pdf,.pdf,243881,19bb2d542f7e1f0a684f70c248797a21a306d50fbf9d86246ef70b47ac60e38d
EXACT00021,True,DOC000064,TUNELLERDE_DESTEK_SISTEMLERI_VE_GUCLENDI.pdf,Mehmet/Kitap 2.Bolum/Kullanılan Dokumanlar/TUNELLERDE_DESTEK_SISTEMLERI_VE_GUCLENDI.pdf,.pdf,4594113,cbf08cc5651cbc903a95c083d2fdb36504cddc0f780da372d9054069bb28a669
EXACT00021,False,DOC000093,TUNELLERDE_DESTEK_SISTEMLERI_VE_GUCLENDI.pdf,Mehmet/Literatur/TUNELLERDE_DESTEK_SISTEMLERI_VE_GUCLENDI.pdf,.pdf,4594113,cbf08cc5651cbc903a95c083d2fdb36504cddc0f780da372d9054069bb28a669
EXACT00022,True,DOC000066,1-NATM-2020.pptx,Mehmet/Kitap 2.Bolum/Kullanılan Dokumanlar/TÜNEL MÜH.GELİŞTİRME KURSU - (24-28.02.2020)_Kullanılan Dokumanlar/1-NATM-2020.pptx,.pptx,14376515,33e54b02175c174a99a7739012e0a70101e516836394186566041b705643cce9
EXACT00022,False,DOC000213,1-NATM-2020.pptx,TÜNEL MÜH.GELİŞTİRME KURSU - (24-28.02.2020)/1-NATM-2020.pptx,.pptx,14376515,33e54b02175c174a99a7739012e0a70101e516836394186566041b705643cce9
EXACT00023,True,DOC000068,TBM(Tunnel Boring Machine).pptx,Mehmet/Kitap 2.Bolum/Kullanılan Dokumanlar/TÜNEL MÜH.GELİŞTİRME KURSU - (24-28.02.2020)_Kullanılan Dokumanlar/TBM(Tunnel Boring Machine).pptx,.pptx,16907826,5f811a624baec87de732a24e235f5f0887f21a17fc42320a7002c14235e319aa
EXACT00023,False,DOC000257,TBM(Tunnel Boring Machine).pptx,TÜNEL MÜH.GELİŞTİRME KURSU - (24-28.02.2020)/DOKÜMANLAR/TBM(Tunnel Boring Machine).pptx,.pptx,16907826,5f811a624baec87de732a24e235f5f0887f21a17fc42320a7002c14235e319aa
EXACT00023,False,DOC000291,TBM(Tunnel Boring Machine).pptx,TÜNEL MÜH.GELİŞTİRME KURSU - (24-28.02.2020)/TBM(Tunnel Boring Machine).pptx,.pptx,16907826,5f811a624baec87de732a24e235f5f0887f21a17fc42320a7002c14235e319aa
